,Район,Адрес,Площадь,clean_address,latitude,longitude
1824,Фрунзенский,сквер б/н на М.Балканской ул. севернее д.30/3,0.18,санкт-петербург улица М.Балканская дом 30/3,59.8276496,30.3763604
1825,Фрунзенский,сквер б/н на ул.Олеко Дундича северо-западнее д.9,0.06,санкт-петербург улица Олеко Дундича дом 9,59.8276414,30.382865
1826,Фрунзенский,"сквер б/н на ул.Олеко Дундича юго-восточнее д.7, корп.1 по ул.Ярослава Гашека",0.1,санкт-петербург улица Олеко Дундича дом 7  корпус 1,59.8278046,30.3805444
1827,Фрунзенский,сквер б/н на Загребском бульв. юго-восточнее дома 37/27,0.05,санкт-петербург бульвар Загребский ,59.8388975,30.395966
1828,Фрунзенский,сквер б/н вдоль р.Волковки от Балканской ул. до линии Витебской ж.д.,7.24,санкт-петербургр Волковки ,59.8587014,30.1938061
1829,Центральный,сквер б/н на наб.кан.Грибоедова севернее д.2,0.06,санкт-петербург набережная Грибоедова дом 2,59.8499934,30.0124491
1830,Центральный,сквер б/н на ул.Чайковского восточнее д.10,0.04,санкт-петербург улица Чайковского дом 10,59.9471007,30.3347643
1831,Центральный,сквер б/н в Дегтярном пер. восточнее д.6 по ул.Моисеенко,0.02,санкт-петербург переулок Дегтярный дом 6,59.9385266,30.3682083
1832,Центральный,сквер б/н на 3-й Советской ул. западнее д.16,0.02,санкт-петербург улица 3-я Советская дом 16,59.9329448,30.3578165
1833,Центральный,сквер б/н на Кирилловской ул. южнее д.53/3 по 8-й Советской ул.,0.03,санкт-петербург улица Кирилловская дом 53/3,59.9337348,30.3708903
1834,Центральный,сквер б/н на 9-й Советской ул. восточнее д.31 по Дегтярной ул.,0.02,санкт-петербург улица 9-я Советская дом 31,59.9360496,30.3676994
1835,Центральный,"сквер б/н западнее пересечения Заячьего пер. и Дегтярного пер., напротив д.6/18 по Заячьему пер.",0.04,санкт-петербург переулок Заячьий ,59.8702504,29.8570508
1836,Центральный,сквер б/н на Конной ул. южнее д.12,0.03,санкт-петербург улица Конная дом 12,59.9290783,30.3651855
1837,Центральный,сквер б/н в Заячьем пер. юго-восточнее д.3,0.03,санкт-петербург переулок Заячьий дом 3,59.867945,29.869407
1838,Центральный,сквер б/н на ул.Моисеенко южнее д.12-14,0.08,санкт-петербург улица Моисеенко дом 12-14,59.9377287,30.3734992
1839,Центральный,сквер б/н на ул.Моисеенко западнее д.18,0.1,санкт-петербург улица Моисеенко дом 18,59.9378619,30.3758619
1840,Центральный,бульвар б/н в Тележном пер.,0.09,санкт-петербург переулок Тележный ,59.9285306,30.363487
1841,Центральный,"сквер б/н южнее пересечения Орловского пер. и 2-й Советской ул., западнее д.3",0.03,санкт-петербург переулок Орловскый ,59.9324479,30.3529763
1842,Центральный,сквер б/н на 10-й Советской ул. южнее д.15/20 по Кирилловской ул.,0.03,санкт-петербург улица 10-я Советская дом 15/20,59.9363053,30.3706966
1843,Центральный,сквер б/н на ул.Моисеенко севернее д.25/24,0.07,санкт-петербург улица Моисеенко дом 25/24,59.9374714,30.3729557
1844,Центральный,сквер б/н в Волоколамском пер. юго-западнее д.9/4 по ул.Константина Заслонова,0.03,санкт-петербург переулок Волоколамскый дом 9/4,59.9140587,27.4561184
1845,Центральный,Звенигородский сквер на пересечении Звенигородской ул. и ул.Марата,0.11,санкт-петербург улица Звенигородская ,59.9201455,30.3287905
1846,Центральный,сквер Эдуарда Хиля в Щербаковом пер. между домом № 4 и домом № 19/8 по ул.Рубинштейна,0.09,санкт-петербург переулок Щербаковый ,59.9283488,30.3332633
1847,Петроградский,сквер Виктора Цоя между Зверинской ул. и Любанского пер.,0.08,санкт-петербург улица Зверинская ,59.9530016,30.2885216
1848,Василеостровский,"сквер б/н на 5-й линии В.О., д.40",0.1,санкт-петербург линия В. О. 5-я дом 40,59.9405279,30.0779739
1849,Василеостровский,"сквер Малые Гаванцы между Галерным проездом, ул.Нахимова, Шкиперским протоком и Галерной гаванью",1.8,санкт-петербург проспект Галерным ,59.9386514,30.2134093
1850,Невский,"сквер б/н на пр.Обуховской Обороны, д.51",0.55,санкт-петербург проспект Обуховской Обороны дом 51,59.9047566,30.4093982
1851,Невский,Смоленский сад на пр.Обуховской Обороны между д.60 и д.68,1.32,санкт-петербург проспект Обуховской Обороны дом 60,59.9019261,30.4152309
1852,Невский,"сквер б/н на Дальневосточном пр. между д.30, корп.3, и д.34, корп.2",0.48,санкт-петербург проспект Дальневосточний дом 30  корпус 3,59.8994613,30.4529137
1853,Невский,сквер б/н на Дальневосточном пр. от Зольной ул. до ул.Еремеева,0.98,санкт-петербург проспект Дальневосточний ,59.8970625,30.4502802
1854,Петроградский,сквер б/н на ул.Маркина между д.12 и д.16а,0.08,санкт-петербург улица Маркина дом 12,59.9563217,30.2948457
1855,Петроградский,сквер б/н на ул.Лизы Чайкиной между д.25 и д.63/31 по Кронверкскому пр.,0.07,санкт-петербург улица Лизы Чайкиная дом 25,59.9553039,30.291771
1856,Петроградский,сквер б/н на пересечении Зверинской ул. и пер.Нестерова,0.09,санкт-петербург улица Зверинская ,59.9530016,30.2885216
1857,Петроградский,"сквер Тукая между Кронверкским пр., Зверинской ул. и Мытнинским пер.",0.09,санкт-петербург проспект Кронверкский ,59.9569903,30.3045117
1858,Петроградский,сквер б/н на Зверинской ул. между д.24 и д.28-30,0.05,санкт-петербург улица Зверинская дом 24,59.9532799,30.2893953
1859,Петроградский,сквер на Шамшевой ул. между д.5 и д.9,0.08,санкт-петербург улица Шамшевая дом 5,59.9140587,27.4561184
1860,Петроградский,сквер б/н на Красносельской ул. между д.4 по Ропшинской ул. и д.29-31 по Малому пр. П.С.,0.09,санкт-петербург улица Красносельская дом 4,59.9570526,30.2860406
1861,Петроградский,"сквер б/н на пересечении Морского пр., пр.Динамо и Вязовой ул.",2.64,санкт-петербург проспект Морский ,59.9367404,29.9925141
1862,Петроградский,парк Тихий отдых (участок 3) на пересечении Средней аллеи и наб.р.Малой Невки,3.64,санкт-петербург аллея Среднейая ,59.716971,30.3935042
1863,Петроградский,парк Тихий отдых (участок 1) на Каменном о-ве,21.12,санкт-петербург остров Каменний ,59.9777709,30.2454673
1864,Петроградский,сквер б/н на пересечении Каменноостровского пр. и Песочной наб.,1.4,санкт-петербург проспект Каменноостровский ,59.9660165,30.3011573
1865,Фрунзенский,"сквер б/н на Пражской ул., д.23 и д.27",0.34,санкт-петербург улица Пражская дом 23,59.8708416,30.3817763
1866,Фрунзенский,"сквер б/н между М.Карпатской ул. и Карпатской ул. напротив д.23, корп.1, по М.Карпатской ул.",3.3,санкт-петербург улица М.Карпатская ,59.837943,30.4162893
1867,Фрунзенский,"сквер б/н на Купчинской ул., д.29, корп.1 и д.25/11",0.96,санкт-петербург улица Купчинская дом 29  корпус 1,59.8293956,30.3851824
1868,Центральный,бульвар б/н на Фурштатской ул.,1.23,санкт-петербург улица Фурштатская ,59.9451279,30.3473491
1869,Невский,"парк Есенина между пр.Большевиков, ул.Дыбенко, Товарищеским пр. и ул.Подвойского",24.07,санкт-петербург проспект Большевиков ,59.8948679,30.4774016
1870,Невский,"Яблоновский сад между р.Оккервиль, ул.Ворошилова и ул.Латышских Стрелков",22.23,санкт-петербургр Оккервиль ,59.928957,30.4486548
1871,Невский,сквер б/н на ул.Крупской южнее д.27,0.08,санкт-петербург улица Крупская дом 27,59.8897736,30.4168913
1872,Невский,сквер б/н на ул.Крупской юго-западнее д.35,0.07,санкт-петербург улица Крупская дом 35,59.8889556,30.4142944
1873,Невский,сквер б/н на ул.Ольминского юго-восточнее д.3 по ул.Бабушкина,0.45,санкт-петербург улица Ольминского дом 3,59.8981513,30.4078547
1874,Невский,сквер б/н на пр.Обуховской Обороны южнее д.109,0.14,санкт-петербург проспект Обуховской Обороны дом 109,59.8937287,30.4255024
1875,Невский,сквер б/н на ул.Профессора Качалова юго-западнее д.15 по пр.Обуховской Обороны,0.46,санкт-петербург улица Профессора Качалова дом 15,59.9086376,30.3738053
1876,Невский,сквер б/н во 2-м Рабфаковском пер. южнее д.4,0.25,санкт-петербург переулок 2-я Рабфаковскый дом 4,59.9140587,27.4561184
1877,Невский,"сквер б/н на ул.Седова восточнее д.95, корп.2",0.16,санкт-петербург улица Седова дом 95  корпус 2,59.8664264,30.4309453
1878,Невский,сквер б/н на ул.Седова восточнее д.105,0.29,санкт-петербург улица Седова дом 105,59.8618675,30.435865
