,Район,Адрес,Площадь,clean_address,latitude,longitude
0,Кировский,"сквер б/н на ул.Васи Алексеева, д.16",0.63,санкт-петербург улица Васи Алексеева дом 16,59.8791566,30.2603532
1,Кировский,"сквер б/н на Двинской ул., д.16, корп.1",0.42,санкт-петербург улица Двинская дом 16  корпус 1,59.9087496,30.2330742
2,Кировский,Молвинский сад на Промышленной ул. между д.17 и д.19,4.45,санкт-петербург улица Промышленная дом 17,59.8991787,30.2534143
3,Кировский,Кировский сквер на Кировской пл.,1.13,санкт-петербург площадь Кировская ,59.7499357,30.0958165
4,Кировский,"сад Девятого Января между ул.Маршала Говорова, Тихомировской ул. и пр.Стачек",11.3,санкт-петербург улица Маршала Говорова ,59.8885784,30.2666206
5,Кировский,сквер б/н на пересечении ул..Маршала Говорова и Охотничьего пер.,0.71,санкт-петербург улица Маршала Говорова ,59.8885784,30.2666206
6,Кировский,сад б/н на ул.Корнеева,1.95,санкт-петербург улица Корнеева ,59.8849961,30.2596913
7,Кировский,"сад Кирьяново на пр.Стачек, д.45",2.76,санкт-петербург проспект Стачек дом 45,59.8860369,30.255721
8,Кировский,сквер б/н на пересечении ул. Возрождения и Автовской ул.,0.9,санкт-петербург улица Возрождения ,59.8804815,30.2671268
9,Кировский,бульвар б/н на ул.Новостроек от пр.Стачек до Автовской ул.,3.82,санкт-петербург улица Новостроек ,59.8751004,30.2562837
10,Кировский,"сквер б/н на пр.Стачек, д.72",1.74,санкт-петербург проспект Стачек дом 72,59.8784876,30.2521103
11,Кировский,бульвар б/н на Автовской ул. и ул.Примакова от ул.Васи Алексеева до д.16 по ул.Примакова,4.01,санкт-петербург улица Автовская ,59.8710794,30.2625355
12,Кировский,сквер б/н на ул.Зенитчиков между пр.Стачек и Краснопутиловской ул.,2.18,санкт-петербург улица Зенитчиков ,59.8731223,30.2482169
13,Кировский,сквер б/н на Автовской ул. от ул.Новостроек до ул.Васи Алексеева,1.02,санкт-петербург улица Автовская ,59.8710794,30.2625355
14,Кировский,сквер Петра Семененко на ул.Червонного Казачества и Портовой ул. между Кронштадтской ул. и Автовской ул.,1.14,санкт-петербург улица Червонного Казачества ,59.8658494,30.2590583
15,Кировский,"сквер б/н на ул.Червонного Казачества, д.4",0.48,санкт-петербург улица Червонного Казачества дом 4,59.8654212,30.2570882
16,Кировский,бульвар б/н на пр.Стачек,23.88,санкт-петербург проспект Стачек ,59.8737783,30.248301
17,Кировский,"сквер б/н на Ленинском пр., д.110, корп.1",0.5,санкт-петербург проспект Ленинский дом 110  корпус 1,59.8536145,30.220885
18,Кировский,сквер б/н вдоль р.Дачной от пр.Ветеранов до Дачного пр.,1.62,санкт-петербургр Дачной ,59.8398115,30.0944375
19,Кировский,"сквер б/н на бульв.Новаторов, д.59",0.29,санкт-петербург бульвар Новаторов дом 59,59.8434346,30.2517723
20,Кировский,"парк Александрино на пр.Ветеранов между пр.Народного Ополчения, ул.Козлова и пр.Стачек",110.52,санкт-петербург проспект Ветеранов ,59.8331149,30.1633308
21,Кировский,сквер б/н вдоль р.Новой между ул.Бурцева и пр.Ветеранов,2.27,санкт-петербургр Новой ,59.9276937,30.0330405
22,Кировский,"сквер б/н на ул.Солдата Корзуна, д.3",0.51,санкт-петербург улица Солдата Корзуна дом 3,59.8320387,30.2078014
23,Кировский,"сквер Передний Край Обороны между ул.Стойкости, пр.Маршала Жукова и пр.Народного Ополчения",1.42,санкт-петербург улица Стойкости ,59.8272579,30.1954587
24,Кировский,бульвар б/н на ул.Морской Пехоты,3.19,санкт-петербург улица Морской Пехоты ,59.8631662,30.2389932
25,Кировский,"сквер б/н на Двинской ул., д.8",0.19,санкт-петербург улица Двинская дом 8,59.9089995,30.2424944
26,Кировский,"сквер б/н на ул.Ивана Черных, д.20",1.06,санкт-петербург улица Ивана Черных дом 20,59.9032686,30.2733983
27,Кировский,"сквер б/н на пр.Стачек, д.5",0.29,санкт-петербург проспект Стачек дом 5,59.8971426,30.2649303
28,Кировский,сквер б/н вдоль р.Дачной от ул.Лени Голикова до ул.Танкиста Хрустицкого,4.95,санкт-петербургр Дачной ,59.8398115,30.0944375
29,Кировский,сквер б/н на пересечении пр.Ветеранов и ул.Танкиста Хрустицкого,0.86,санкт-петербург проспект Ветеранов ,59.8331149,30.1633308
30,Кировский,сквер б/н на пр.Ветеранов между д.21 и д.23,0.33,санкт-петербург проспект Ветеранов дом 21,59.8434213,30.2349826
31,Кировский,"сквер б/н на пр.Маршала Жукова, д.64, корп.1",0.52,санкт-петербург проспект Маршала Жукова дом 64  корпус 1,59.8370634,30.1912064
32,Кировский,сквер б/н вдоль р.Новой между пр.Народного Ополчения и ул.Стойкости,1.93,санкт-петербургр Новой ,59.9276937,30.0330405
33,Кировский,"сквер б/н на ул.Стойкости, д.23",0.27,санкт-петербург улица Стойкости дом 23,59.8276956,30.1969303
34,Кировский,"сквер б/н на пр.Ветеранов, д.104",1.72,санкт-петербург проспект Ветеранов дом 104,59.8312119,30.1990417
35,Кировский,"сквер б/н на пр.Маршала Жукова, д.66, корп.1",0.29,санкт-петербург проспект Маршала Жукова дом 66  корпус 1,59.8354546,30.1890603
36,Кировский,"сквер б/н на бульв.Новаторов, д.112",0.08,санкт-петербург бульвар Новаторов дом 112,59.8419918,30.2384528
37,Кировский,сквер б/н вдоль р.Дачной от Дачного пр. до Ленинского пр.,2.0,санкт-петербургр Дачной ,59.8398115,30.0944375
38,Кировский,сквер б/н на ул.Новостроек между д.28 и д.30,0.33,санкт-петербург улица Новостроек дом 28,59.8739793,30.2627181
39,Кировский,"сквер б/н на пр.Стачек, д.62",0.43,санкт-петербург проспект Стачек дом 62,59.8816337,30.2539851
40,Кировский,"сквер б/н на бульв.Новаторов, д.32",5.15,санкт-петербург бульвар Новаторов дом 32,59.8478746,30.2594504
41,Кировский,сквер б/н на Двинской ул. между д.5/7 и д.9,0.09,санкт-петербург улица Двинская дом 5/7,59.909653,30.2394535
42,Кировский,сквер б/н на пересечении пр.Стачек и дор. на Турухтанные острова,0.09,санкт-петербург проспект Стачек ,59.8737783,30.248301
43,Кировский,сквер б/н на пересечении Виндавской ул. и Двинской ул.,0.14,санкт-петербург улица Виндавская ,59.9097733,30.2414067
44,Кировский,"сквер б/н на Корабельной ул., д.6 и д.6, корп.2",0.74,санкт-петербург улица Корабельная дом 6,59.8767346,30.2412586
45,Кировский,"сквер б/н на пр.Стачек, д.18",0.15,санкт-петербург проспект Стачек дом 18,59.8942466,30.2670953
46,Кировский,сквер б/н в Огородном пер.,0.39,санкт-петербург переулок Огородный ,59.8860112,30.2622821
47,Кировский,сквер б/н на пересечении ул.Метростроевцев и Сивкова пер.,0.35,санкт-петербург улица Метростроевцев ,59.9010611,30.2752598
48,Кировский,"сквер б/н на пл.Стачек, д.7",0.23,санкт-петербург площадь Стачек дом 7,59.8968294,30.263884
49,Кировский,"сквер б/н на пр.Ветеранов, д.9",0.24,санкт-петербург проспект Ветеранов дом 9,59.8445424,30.2369534
50,Кировский,сквер б/н на пересечении Виндавской ул. и Межевого кан.,0.2,санкт-петербург улица Виндавская ,59.9097733,30.2414067
51,Кировский,"сквер б/н на Межевом кан., д.5",0.36,санкт-петербург канал Межевой дом 5,59.910961,30.2404623
52,Кировский,сквер б/н вдоль р.Новой между ул.Бурцева и ул.Солдата Корзуна,1.35,санкт-петербургр Новой ,59.9276937,30.0330405
53,Колпинский,"сквер Володарского между Адмиралтейской ул., Пролетарской ул. и р.Ижорой",3.19,санкт-петербург улица Адмиралтейская ,59.7433036,30.5839195
54,Колпинский,сквер б/н на Раумской ул. у д.48 по ул.Вавилова,4.1,санкт-петербург улица Раумская дом 48,59.7371173,30.5815799
55,Колпинский,сквер б/н на Тверской ул. между д.4 и д.32,3.57,санкт-петербург улица Тверская дом 4,59.8461874,30.1649794
56,Колпинский,"Троицкий сад между Соборной ул., наб.Комсомольского кан. и ул.Культуры",1.44,санкт-петербург улица Соборная ,59.7523639,30.5934599
57,Колпинский,сквер б/н на пересечении Вознесенского шоссе и Колпинской ул.,1.79,санкт-петербург шоссе Вознесенского ,59.9275108,30.2978931
58,Колпинский,парк б/н на Клубной ул. между Садовой ул. и Парковой ул.,3.5,санкт-петербург улица Клубная ,59.8073176,30.5016317
59,Колпинский,сад б/н на пересечении Раумской ул. и ул.Вавилова,4.96,санкт-петербург улица Раумская ,59.7377354,30.5753086
60,Колпинский,сквер б/н на Вознесенском шоссе напротив ж.-д. ст.Колпино,3.1,санкт-петербург шоссе Вознесенское ,59.7634256,30.6231492
61,Колпинский,"Городской сад между бульв.Победы, пр.Ленина и Советским кан.",1.89,санкт-петербург бульвар Победы ,59.8519687,30.2995132
62,Колпинский,"сквер б/н на ул.Веры Слуцкой, д.19",2.19,санкт-петербург улица Веры Слуцкая дом 19,59.7393432,30.5671408
63,Колпинский,сквер б/н между Октябрьской ул. и ж.-д. ст.Колпино,3.12,санкт-петербург улица Октябрьская ,59.956317,28.7471658
64,Колпинский,сквер б/н на Пролетарской ул. от ул.Вавилова до Адмиралтейской ул.,1.37,санкт-петербург улица Пролетарская ,59.9906338,29.7790886
65,Колпинский,"сквер б/н на Адмиралтейской ул., д.50",0.47,санкт-петербург улица Адмиралтейская дом 50,59.7385785,30.5822514
66,Колпинский,сквер б/н на берегу Ижорского пруда между Раумской ул. и бульв.Трудящихся,1.01,санкт-петербург проспект Ижорский ,59.7304633,30.5498838
67,Колпинский,сквер б/н на Зеленой наб.,2.61,санкт-петербург набережная Зеленая ,59.9010361,29.9137401
68,Колпинский,сквер б/н на Шлиссельбургском шоссе между д.22 и д.38а,0.97,санкт-петербург шоссе Шлиссельбургское дом 22,59.807629,30.5855535
69,Колпинский,"сквер б/н на ул.Судостроителей, д.9",1.22,санкт-петербург улица Судостроителяя дом 9,59.9140587,27.4561184
70,Колпинский,сквер б/н на пересечении Советского пр. и Славянской ул.,2.32,санкт-петербург проспект Советский ,60.069894,29.9647504
71,Колпинский,сквер б/н на Шлиссельбургском шоссе от д.13 до д.1б по Дорожной ул.,6.73,санкт-петербург шоссе Шлиссельбургское ,59.7823767,30.6731933
72,Колпинский,"парк б/н на Вознесенском шоссе, д.57",13.49,санкт-петербург шоссе Вознесенское дом 57,59.7614307,30.6180118
73,Адмиралтейский,сквер б/н в Дровяном пер. юго-восточнее д.3,0.02,санкт-петербург переулок Дровяный дом 3,59.9140587,27.4561184
74,Адмиралтейский,сквер б/н южнее пересечения Витебской ул. и Мясной ул.,0.01,санкт-петербург улица Витебская ,59.9204492,30.2694533
75,Адмиралтейский,сквер б/н южнее пересечения Клинского пр. и Можайской ул.,0.03,санкт-петербург проспект Клинский ,59.9150183,30.3132245
76,Адмиралтейский,сквер б/н в Подъездном пер. у д.8,0.05,санкт-петербург переулок Подъездный дом 8,59.9140587,27.4561184
77,Адмиралтейский,сквер б/н северо-западнее пересечения Подольской ул. и наб.Обводного кан.,0.11,санкт-петербург улица Подольская ,59.91529,30.3146128
78,Адмиралтейский,сквер б/н на наб.Обводного кан. у д.147-149,0.03,санкт-петербург набережная Обводного ,59.9131891,30.3214604
79,Адмиралтейский,сквер б/н на 12-й Красноармейской ул. между д.7 и д.11,0.07,санкт-петербург улица 12-я Красноармейская дом 7,59.9116879,30.2943301
80,Адмиралтейский,сквер б/н на 8-й Красноармейской ул. западнее д.5,0.08,санкт-петербург улица 8-я Красноармейская дом 5,59.9146038,30.2939379
81,Адмиралтейский,сквер б/н на наб.р.Фонтанки у д.128,0.03,санкт-петербург набережная Фонтанки дом 128,59.9181754,30.2947442
82,Адмиралтейский,сквер б/н на 7-й Красноармейской ул. у д.11,0.02,санкт-петербург улица 7-я Красноармейская дом 11,59.9118517,30.3030362
83,Адмиралтейский,сквер б/н на Курляндской ул. у д.36-38,0.03,санкт-петербург улица Курляндская дом 36-38,59.9115056,30.2669563
84,Адмиралтейский,сквер б/н на Нарвском пр. севернее д.8,0.03,санкт-петербург проспект Нарвский дом 8,59.9047502,30.264049
85,Адмиралтейский,"сквер б/н на наб. Обводного кан. севернее д.22, корп.2 по Бумажной ул.",0.03,санкт-петербург набережная Обводного ,59.9131891,30.3214604
86,Красносельский,сквер б/н на пр.Ветеранов у д.131,2.17,санкт-петербург проспект Ветеранов дом 131,59.8348018,30.1471348
87,Красносельский,сквер б/н на пересечении ул.Юных Пионеров и ул.Свободы,0.5,санкт-петербург улица Юных Пионеров ,59.7326571,30.068059
88,Красносельский,сквер б/н на пр.Ленина от ул.Освобождения до Бронетанковой ул.,0.79,санкт-петербург проспект Ленина ,59.9682105,28.8253258
89,Красносельский,сквер Скачки на пересечении пр.Ленина и ул.Ломоносова,0.21,санкт-петербург проспект Ленина ,59.9682105,28.8253258
90,Красносельский,"сквер Автомобилист на Кингисеппском шоссе, д.47",0.72,санкт-петербург шоссе Кингисеппское дом 47,59.7223676,30.0556603
91,Красносельский,"сквер б/н на Нарвской ул., д.4, корп.1",0.37,санкт-петербург улица Нарвская дом 4  корпус 1,59.7203949,30.0595558
92,Красносельский,сквер б/н на пересечении пр.Ленина и ул.Массальского,0.71,санкт-петербург проспект Ленина ,59.9682105,28.8253258
93,Красносельский,сквер б/н на пр.Ленина от ул.Юных Пионеров до ул.Суворова,0.74,санкт-петербург проспект Ленина ,59.9682105,28.8253258
94,Красносельский,"Нижний парк между Нагорной ул., ул.Первого Мая и Привокзальной ул.",18.22,санкт-петербург улица Нагорная ,59.856744,30.001339
95,Красносельский,"сквер б/н на ул.Добровольцев, д.46, д.54 и д.62",1.19,санкт-петербург улица Добровольцев дом 46,59.8300895,30.155923
96,Красносельский,"сквер б/н на ул.Маршала Захарова, д.56",0.17,санкт-петербург улица Маршала Захарова дом 56,59.8520955,30.1977428
97,Красносельский,бульвар б/н на Петергофском шоссе от ул.Доблести до пр.Маршала Жукова,13.29,санкт-петербург шоссе Петергофское ,59.8476944,30.1419976
98,Красносельский,бульвар б/н на Петергофском шоссе от Дудергофского кан. до ул.Доблести,4.37,санкт-петербург шоссе Петергофское ,59.8476944,30.1419976
99,Красносельский,сквер б/н вдоль р.Ивановки между пр.Ветеранов и пр.Народного Ополчения,16.55,санкт-петербургр Ивановки ,56.0478073,15.0402238
100,Красносельский,сквер б/н на пересечении пр.Красных Командиров и ул.Восстановления,0.37,санкт-петербург проспект Красных Командиров ,60.1253387,29.5072987
101,Красносельский,Можайский сквер на Гатчинском шоссе между д.3 и д.7,0.6,санкт-петербург шоссе Гатчинское дом 3,59.7233576,30.0691103
102,Красносельский,"сквер б/н на пр.Ленина, д.91",0.2,санкт-петербург проспект Ленина дом 91,59.7275408,30.0710684
103,Красносельский,сквер б/н на пр.Ленина между д.65 и д.67,0.13,санкт-петербург проспект Ленина дом 65,59.9711578,29.2417038
104,Красносельский,сквер б/н на Гвардейской ул. между д.5 и д.9,0.18,санкт-петербург улица Гвардейская дом 5,59.736006,30.0773912
105,Красносельский,"сквер б/н на Гвардейской ул., д.12",0.04,санкт-петербург улица Гвардейская дом 12,59.7358295,30.0746354
106,Красносельский,бульвар б/н на ул.Юных Пионеров от пр.Ленина до Огородной ул.,0.2,санкт-петербург улица Юных Пионеров ,59.7326571,30.068059
107,Красносельский,сквер б/н на пересечении ул.Лермонтова и ул.Юных Пионеров,0.59,санкт-петербург улица Лермонтова ,59.7020406,29.611849
108,Красносельский,"сквер б/н на Стрельнинском шоссе, д.6, корп.3",0.15,санкт-петербург шоссе Стрельнинское дом 6  корпус 3,59.7473156,30.0790393
109,Красносельский,"сквер б/н на пр.Ленина, д.81",0.47,санкт-петербург проспект Ленина дом 81,59.8588681,29.2630836
110,Красносельский,сквер б/н на пересечении пр.Ветеранов и ул.Партизана Германа,0.95,санкт-петербург проспект Ветеранов ,59.8331149,30.1633308
111,Московский,"Московский парк Победы между Московским пр., Кузнецовской ул., пр.Юрия Гагарина и Бассейной ул.",66.88,санкт-петербург проспект Московский ,59.8855193,30.3104478
112,Московский,бульвар б/н по Варшавской ул.,2.67,санкт-петербург улица Варшавская ,59.8629764,30.3026374
113,Московский,сад Дубовая Роща на западной стороне Пулковского шоссе от Дунайского пр. до линии Окружной ж.д.,14.22,санкт-петербург шоссе Пулковского ,59.7929911,30.3141095
114,Московский,бульвар б/н на Пулковском шоссе от пл.Победы до Дунайского пр.,10.9,санкт-петербург шоссе Пулковское ,59.7981338,30.2574365
115,Московский,"сквер б/н на улице Гастелло, д.7",0.89,санкт-петербург улица Гастелло дом 7,59.8583522,30.3137632
116,Московский,сквер б/н на ул.Фрунзе между д.16 и д.18,1.54,санкт-петербург улица Фрунзе дом 16,59.8624706,30.3173913
117,Московский,"сквер б/н на Московском шоссе, д.14, корп.1, и д.16, корп.1",1.22,санкт-петербург шоссе Московское дом 14  корпус 1,59.9140587,27.4561184
118,Московский,"сквер Южная Роща между ул.Типанова, Московским пр., Алтайской ул. и Демонстрационным проездом",2.25,санкт-петербург улица Типанова ,59.8523859,30.3324882
119,Московский,"сквер б/н на пр.Космонавтов, д.28, корп.1, и д.30, корп.1",1.12,санкт-петербург проспект Космонавтов дом 28  корпус 1,59.8597636,30.3403364
120,Московский,"сквер б/н на Бассейной ул., д.53",0.74,санкт-петербург улица Бассейная дом 53,59.8634781,30.3185751
121,Московский,сквер б/н на пересечении ул.Решетникова и Свеаборгской ул.,0.49,санкт-петербург улица Решетникова ,59.8789863,30.3179198
122,Московский,"сквер б/н на пл.Чернышевского, д.11",2.59,санкт-петербург площадь Чернышевского дом 11,59.8685734,30.3038673
123,Московский,бульвар б/н на пр.Космонавтов,21.73,санкт-петербург проспект Космонавтов ,59.8499819,30.3431778
124,Московский,"сквер б/н на ул.Орджоникидзе, д.63",0.89,санкт-петербург улица Орджоникидзе дом 63,59.8424876,30.3548504
125,Московский,"сквер б/н на Звездной ул., д.22",0.75,санкт-петербург улица Звездная дом 22,59.8361726,30.3573549
126,Московский,"сквер б/н на Пулковском шоссе, д.7, корп.2",1.32,санкт-петербург шоссе Пулковское дом 7  корпус 2,59.8375068,30.3056611
127,Московский,сквер б/н на пересечении Пулковского шоссе и Дунайского пр.,5.14,санкт-петербург шоссе Пулковского ,59.7929911,30.3141095
128,Московский,Колмовский сад на пересечении Московского пр. и ул.Глеба Успенского,0.2,санкт-петербург проспект Московский ,59.8855193,30.3104478
129,Московский,"сквер Северная Роща между Авиационной ул., Московским пр., ул. Типанова и Демонстрационным проездом",1.98,санкт-петербург улица Авиационная ,59.8549985,30.3191655
130,Московский,"сквер б/н на ул.Ленсовета, д.12",1.3,санкт-петербург улица Ленсовета дом 12,59.8569946,30.3205754
131,Московский,бульвар б/н на пр.Юрия Гагарина от Бассейной ул. до ул.Ленсовета,19.21,санкт-петербург проспект Юрия Гагарина ,59.8569034,30.3269398
132,Московский,сквер б/н между ул.Ленсовета и ул.Орджоникидзе,5.79,санкт-петербург улица Ленсовета ,59.8460491,30.3199286
133,Московский,сквер б/н на Московской пл.,2.79,санкт-петербург площадь Московская ,59.8521534,30.3179676
134,Московский,"сквер б/н на пр.Космонавтов, д.48",0.43,санкт-петербург проспект Космонавтов дом 48,59.8495667,30.3450151
135,Московский,"сквер б/н на пр.Космонавтов, д.48, корп.1",0.37,санкт-петербург проспект Космонавтов дом 48  корпус 1,59.8494366,30.3451803
136,Московский,"сквер б/н на пр.Космонавтов, д.46, корп.1",0.5,санкт-петербург проспект Космонавтов дом 46  корпус 1,59.8508127,30.3445214
137,Московский,"сквер б/н на Московском пр., д.212",2.09,санкт-петербург проспект Московский дом 212,59.8522264,30.3166698
138,Московский,сквер б/н на ул.Решетникова между д.5 и д.9,0.39,санкт-петербург улица Решетникова дом 5,59.8786896,30.3129804
139,Московский,"сквер б/н на Московском пр., д.66",0.08,санкт-петербург проспект Московский дом 66,59.9075273,30.3090548
140,Московский,Смоленский сквер на пересечении Московского пр. и Смоленской ул.,0.29,санкт-петербург проспект Московский ,59.8855193,30.3104478
141,Московский,бульвар б/н на Алтайской ул.,1.17,санкт-петербург улица Алтайская ,59.8493222,30.3171224
142,Московский,сквер б/н на Бассейной ул. между д.41 и д.45,0.04,санкт-петербург улица Бассейная дом 41,59.8646233,30.3118594
143,Московский,"сквер б/н на ул.Орджоникидзе, д.33, д.39 и д.43",0.79,санкт-петербург улица Орджоникидзе дом 33,59.842493,30.3339419
144,Московский,"сквер б/н на пр.Космонавтов, д.32",0.31,санкт-петербург проспект Космонавтов дом 32,59.8569446,30.3426109
145,Московский,"сквер б/н на пр.Космонавтов, д.22",0.32,санкт-петербург проспект Космонавтов дом 22,59.8613172,30.3407041
146,Московский,"сквер б/н на Авиационной ул., д.38",0.29,санкт-петербург улица Авиационная дом 38,59.8541247,30.3224652
147,Московский,"сквер б/н на ул.Ленсовета, д.3 и д.5",0.43,санкт-петербург улица Ленсовета дом 3,59.8604096,30.3178493
148,Московский,сквер б/н на Московском пр. между д.179 и д.189,1.7,санкт-петербург проспект Московский дом 179,59.8585339,30.3101211
149,Московский,сквер б/н на пересечении Московского пр. и Детского пер.,0.2,санкт-петербург проспект Московский ,59.8855193,30.3104478
150,Московский,"сквер б/н на Пулковском шоссе, д.3",0.68,санкт-петербург шоссе Пулковское дом 3,59.8403756,30.3059353
151,Московский,"сквер б/н на ул.Типанова, д.25",0.55,санкт-петербург улица Типанова дом 25,59.8540326,30.3369753
152,Московский,"сквер б/н на Благодатной ул., д.20",0.13,санкт-петербург улица Благодатная дом 20,59.8762544,30.3057394
153,Московский,бульвар б/н на ул.Гастелло,0.86,санкт-петербург улица Гастелло ,59.8581358,30.3192088
154,Московский,сквер б/н на пересечении Московского пр. и Заставской ул.,0.05,санкт-петербург проспект Московский ,59.8855193,30.3104478
155,Московский,бульвар б/н на ул.Победы от Варшавской ул. до Бассейной ул.,1.27,санкт-петербург улица Победы ,59.8797469,29.385502
156,Московский,сквер б/н на Московском пр. между д.195 и д.197,0.69,санкт-петербург проспект Московский дом 195,59.8505491,30.3102034
157,Московский,сквер б/н на пересечении ул.Пилотов и Штурманской ул.,0.25,санкт-петербург улица Пилотов ,59.8233035,30.2725266
158,Московский,сквер б/н на пересечении Московского пр. и ул.Фрунзе,0.86,санкт-петербург проспект Московский ,59.8855193,30.3104478
159,Московский,"сквер б/н на Витебском пр., д.27",1.08,санкт-петербург проспект Витебский дом 27,59.8618856,30.3467853
160,Московский,"сквер б/н на ул.Пилотов, д.14, корп.1",0.14,санкт-петербург улица Пилотов дом 14  корпус 1,59.8108776,30.2911543
161,Московский,сквер б/н на пересечении Московского пр. и Киевской ул.,0.08,санкт-петербург проспект Московский ,59.8855193,30.3104478
162,Московский,"сквер б/н на пр.Космонавтов, д.48 корп.2",0.35,санкт-петербург проспект Космонавтов дом 48  корпус 2,59.8497025,30.3462128
163,Московский,сквер б/н на ул.Пилотов между д.17 и д.23,0.77,санкт-петербург улица Пилотов дом 17,59.8123818,30.289197
164,Московский,сквер б/н на ул.Пилотов между д.25 и д.31,0.64,санкт-петербург улица Пилотов дом 25,59.8139098,30.2857152
165,Московский,"парк б/н на Пулковском шоссе, д.40",0.52,санкт-петербург шоссе Пулковское дом 40,59.8189696,30.3147635
166,Московский,бульвар б/н на Пулковском шоссе от ул.Галстяна до Дунайского пр.,1.58,санкт-петербург шоссе Пулковское ,59.7981338,30.2574365
167,Адмиралтейский,"сад Олимпия между Московским пр., Клинским пр., Батайским пер. и Малодетскосельским пр.",2.4,санкт-петербург проспект Московский ,59.8855193,30.3104478
168,Адмиралтейский,"сад б/н на Рижском пр., д.25",0.2,санкт-петербург проспект Рижский дом 25,59.913511,30.2706942
169,Адмиралтейский,Балтийский сад на пл.Балтийского вокзала,0.39,санкт-петербург площадь Балтийского ,59.9081307,30.2885497
170,Адмиралтейский,"сад Театра юных зрителей между Звенигородской ул., Пионерской пл. и ул.Марата",6.85,санкт-петербург улица Звенигородская ,59.9201455,30.3287905
171,Адмиралтейский,"сад дворца Юсуповых на ул.Декабристов, д.21",0.89,санкт-петербург улица Декабристов дом 21,59.9278902,30.2900209
172,Адмиралтейский,Юсуповский сад между Садовой ул. и д.117 по наб.р.Фонтанки,4.68,санкт-петербург улица Садовая ,59.9256797,30.3048972
173,Адмиралтейский,Покровский сквер на пл.Тургенева,1.55,санкт-петербург площадь Тургенева ,59.9184091,30.2839912
174,Адмиралтейский,"Александровский сад между Адмиралтейским пр., Адмиралтейским проездом и Адмиралтейской наб.",9.03,санкт-петербург проспект Адмиралтейский ,59.9358379,30.2980323
175,Адмиралтейский,Калинкинский сквер на пл.Репина,0.37,санкт-петербург площадь Репина ,59.9174286,30.2689698
176,Адмиралтейский,Адмиралтейский сад на Адмиралтейской наб.,0.91,санкт-петербург набережная Адмиралтейская ,59.9378901,30.2944864
177,Адмиралтейский,сквер б/н на пересечении Загородного пр. и Верейской ул.,0.17,санкт-петербург проспект Загородний ,59.9222533,30.3224918
178,Адмиралтейский,сквер б/н на пересечении 4-й Красноармейской ул. и Советского пер.,0.15,санкт-петербург улица 4-я Красноармейская,59.9138133,30.3018629
179,Адмиралтейский,сквер б/н на Загородном пр. у д.1/62 по Верейской ул.,0.13,санкт-петербург проспект Загородний дом 1/62,59.9279679,30.3361079
180,Адмиралтейский,"сквер б/н на Старо-Петергофском пр., д.44 и д.50",0.36,санкт-петербург проспект Старо-Петергофский дом 44,59.9024648,30.2673542
181,Адмиралтейский,"сквер б/н на Старо-Петергофском пр., д.6",0.16,санкт-петербург проспект Старо-Петергофский дом 6,59.9126084,30.2674263
182,Адмиралтейский,"сквер б/н на Нарвском пр., д.1/29",0.06,санкт-петербург проспект Нарвский дом 1/29,59.9059907,30.2647709
183,Адмиралтейский,Дерптский сквер на пересечении Рижского пр. и Дерптского пер.,0.17,санкт-петербург проспект Рижский ,59.9133501,30.2677536
184,Адмиралтейский,сквер б/н на пересечении 7-й Красноармейской ул. и ул.Егорова,0.15,санкт-петербург улица 7-я Красноармейская,59.9116513,30.3021504
185,Адмиралтейский,"сквер б/н на Лермонтовском пр., д.43/1",0.95,санкт-петербург проспект Лермонтовский дом 43/1,59.9147589,30.2861502
186,Адмиралтейский,"сквер б/н на ул.Марата, д.90 и д.92",0.06,санкт-петербург улица Марата дом 90,59.9174623,30.3255244
187,Адмиралтейский,Семёновский сквер на Семёновской пл.,0.13,санкт-петербург площадь Семёновская ,59.8392763,29.8881911
188,Адмиралтейский,"сквер б/н на Лермонтовском пр., д.54",0.37,санкт-петербург проспект Лермонтовский дом 54,59.9112231,30.2875159
189,Адмиралтейский,сквер Обуховской больницы на наб.р.Фонтанки у д.47 по Загородному пр.,0.47,санкт-петербург набережная Фонтанки дом 47,59.930212,30.3283294
190,Адмиралтейский,Театральный сквер на Театральной пл.,0.32,санкт-петербург площадь Театральная ,59.9798905,30.2724654
191,Адмиралтейский,Воскресенский сквер на пл.Кулибина,0.71,санкт-петербург площадь Кулибина ,59.9213038,30.241417
192,Адмиралтейский,Обуховский сквер на Обуховской пл.,0.28,санкт-петербург площадь Обуховская ,59.9226588,30.3075189
193,Адмиралтейский,сквер Елены Образцовой на пересечении ул.Писарева и ул.Декабристов,0.2,санкт-петербург улица Писарева ,59.9267426,30.2754012
194,Адмиралтейский,Исаакиевский сквер на Исаакиевской пл.,0.75,санкт-петербург площадь Исаакиевская ,59.9328613,30.2963236
195,Петродворцовый,"парк Собственная Дача между Финским заливом, ул. Беловой, линией Балтийской ж.д. и парком Сергиевка",65.8,санкт-петербург улица Беловая ,59.9513234,30.1009583
196,Петродворцовый,сквер б/н между Ораниенбаумским шоссе и Собственным пр.,6.54,санкт-петербург шоссе Ораниенбаумское ,59.8943877,29.8464515
197,Петродворцовый,сквер б/н между Огородной ул. и Сергиевской ул.,0.74,санкт-петербург улица Огородная ,59.7054505,30.3854889
