"Название поля, рус.","Название поля, англ.",Описание,Тип,Размерность,Обязательность,Первичный ключ,Естественный ключ,Главное адресное поле,Связанный набор,Таблица в связанном наборе
Район,district,Район города,Строка,100,Да,False,Да,False,,
Номер территории,territory_number,Условный номер объекта на территории Санкт-Петербурга,Строка,50,Да,Да,False,False,,
Адрес,address,Адрес объекта внутриквартального озеленения,Строка,300,False,False,False,False,,
Ориентировочная,reference_area_hectare,"Площадь объекта внутриквартального озеленения, ориентировочная, га",Дробное число,,False,False,False,False,,
Основание,reason,"Реквизиты документа, утверждающего перечень внутриквартального озеленения",Строка,500,False,False,False,False,,
Муниципальное,municipal_unit,Наименование муниципального образования,Строка,50,False,False,False,False,,
Дата внесения в базу,entry_date,Дата внесения объекта в базу данных,Дата,,False,False,False,False,,
