Район,Номер территории,Адрес,Ориентировочная,Основание,Муниципальное,Дата внесения в базу
Московский,14-48-21,сквер б/н между д. 57 и д. 61  по ул. Ленсовета,0.35,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-22,"сквер б/н между д. 63 и д. 67, корп. 1, по ул. Ленсовета",0.31,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-23,сквер б/н южнее д. 8  по Московскому шоссе,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-24,сквер б/н южнее д. 6  по Московскому шоссе,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-25,сквер б/н южнее д. 4  по Московскому шоссе,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-26,сквер б/н южнее д. 2  по Московскому шоссе,0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-27,"сквер б/н между д. 13, д. 15 и д. 17 по ул. Орджоникидзе",0.3,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-28,сквер б/н между д. 17 и д. 19  по ул. Орджоникидзе,0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-29,сквер б/н восточнее д. 15 по ул. Орджоникидзе,0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-30,сквер б/н севернее д. 19  по ул. Орджоникидзе,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-31,сквер б/н севернее д. 23  по ул. Орджоникидзе,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-32,сквер б/н западнее д. 27  по ул. Орджоникидзе,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-33,сквер б/н между д. 23 и д. 25 по ул. Орджоникидзе,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-34,сквер б/н южнее д. 27  по ул. Орджоникидзе,0.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-35,сквер б/н южнее д. 21  по ул. Орджоникидзе,0.45,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-36,"сквер б/н между д. 48, д. 50, корп. 2,  д. 50, д. 52 и д. 54 по ул. Ленсовета",1.38,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-37,сквер б/н севернее д. 19  по ул. Типанова,0.38,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-38,сквер б/н между д. 17 по ул. Типанова и д. 35 по пр.Юрия Гагарина,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-39,сквер б/н севернее д. 35  по пр.Юрия Гагарина,0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-40,сквер б/н севернее д. 20  по ул. Ленсовета,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-41,"сквер б/н вдоль д. 16, д. 18, д. 20  по ул. Ленсовета",0.59,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-42,сквер б/н севернее д. 7  по ул. Типанова,0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-43,сквер б/н севернее д. 24 по Алтайской ул.,0.85,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-44,сквер б/н между д. 10 и д. 12  по ул. Типанова,0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-45,сквер б/н между д. 14 и д. 16  по ул. Типанова,0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-46,сквер б/н северо-восточнее д. 16 по ул. Типанова,0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-47,сквер б/н западнее д. 7 по Алтайской ул.,0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-48,сквер б/н юго-западнее д. 7 по Алтайской ул.,0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-49,сквер б/н западнее д. 9 по Алтайской ул.,0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-50,сквер б/н южнее д. 216а по Московскому пр.,0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-51,сквер б/н южнее д. 9 по Алтайской ул.,0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-52,сквер б/н южнее д. 13 по Алтайской ул.,0.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-53,сквер б/н западнее д. 13 по Алтайской ул.,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-54,сквер б/н севернее д. 13 по Алтайской ул.,0.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-55,сквер б/н между д. 13 и д. 15 по Алтайской ул.,0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-56,сквер б/н западнее д. 27  по ул. Ленсовета,0.23,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-57,сквер б/н западнее д. 23  по ул. Ленсовета,0.52,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-58,сквер б/н западнее д. 21  по ул. Ленсовета,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-59,сквер б/н восточнее д. 33  по ул. Ленсовета,0.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-60,сквер б/н между д. 14 по ул. Орджоникидзе и д. 31 по ул. Ленсовета,0.27,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-61,сквер б/н между д. 10 и д. 14 по ул. Орджоникидзе,0.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-62,сквер б/н между д. 6 и д. 10  по ул. Орджоникидзе,0.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-63,сквер б/н между д. 12 и д. 16 по ул. Орджоникидзе,0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-64,сквер б/н между д. 8 и д. 12  по ул. Орджоникидзе,0.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-65,сквер б/н западнее д. 8  по ул. Орджоникидзе,0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-66,сквер б/н северо-восточнее д. 222 по Московскому пр.,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-67,"сквер б/н вдоль д. 20, д. 22  по ул. Орджоникидзе и д. 37  по ул. Ленсовета",0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-68,сквер б/н южнее д. 28 по Авиационной ул.,0.42,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-69,сквер б/н южнее д. 24 по Авиационной ул.,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-70,сквер б/н западнее д. 22 по Авиационной ул.,0.33,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-71,сквер б/н восточнее д. 17 по Авиационной ул.,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-72,сквер б/н западнее д. 17 по Авиационной ул.,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-73,сквер б/н северо-восточнее д. 11 по ул. Гастелло,0.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-74,сквер б/н южнее д. 11 по ул. Гастелло,0.38,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-75,сквер б/н восточнее д. 206 по Московскому пр.,0.28,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-76,"сквер б/н между д. 206, корп. 1, и  д. 208, корп. 1 по Московскому пр.",0.23,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-77,"сквер б/н южнее д. 208, корп. 1, по Московскому пр.",0.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-79,"сквер б/н северо-восточнее д. 36,  корп. 2 по Пулковскому шоссе",0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-80,сквер б/н от д. 20 до д. 32 по Пулковскому шоссе,0.52,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-81,сквер б/н северо-западнее д. 18 по Пулковскому шоссе,0.53,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-82,сквер б/н западнее д. 5 по Дунайскому пр.,0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-83,сквер б/н южнее д. 5 по Дунайскому пр.,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-84,сквер б/н севернее д. 25 по Авиационной ул.,0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-85,"сквер б/н севернее д. 7, корп. 2, по Звёздной ул.",0.33,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-86,"сквер б/н юго-западнее д. 9, корп. 1, по Звёздной ул.",0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-87,"сквер б/н западнее д. 9, корп. 1, по Звёздной ул.",0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-88,"сквер б/н северо-восточнее д. 7,  корп. 2, по Звёздной ул.",0.12,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-89,"сквер б/н южнее д. 9, корп. 3, по Звёздной ул.",0.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-90,"сквер б/н северо-восточнее д. 9,  корп. 3, по Звёздной ул.",0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-91,"сквер б/н северо-восточнее д. 9,  корп. 2, по Звёздной ул.",0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-92,"сквер б/н северо-западнее д. 9, корп. 3, по Звёздной ул.",0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-94,сквер б/н северо-восточнее д. 36 по Московскому шоссе,0.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-95,сквер б/н северо-западнее д. 26 по Московскому шоссе,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-96,"сквер б/н юго-восточнее д. 16, корп. 1, по Московскому шоссе",0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-97,"сквер б/н северо-восточнее д. 30,  корп. 2, по Московскому шоссе",0.41,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-98,сквер б/н севернее д. 47 по пр.Юрия Гагарина,0.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-99,"сквер б/н северо-восточнее д. 14,  корп. 1, по Московскому шоссе",0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-100,"сквер б/н северо-восточнее д. 14,  корп. 3, по Московскому шоссе",0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-101,сквер б/н юго-западнее д. 75 по ул. Ленсовета,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-102,"сквер б/н северо-восточнее д. 16, корп. 2, по Московскому шоссе",0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-103,сквер б/н юго-западнее д. 83  по ул. Ленсовета,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-104,сквер б/н южнее д. 27 по Алтайской ул.,0.26,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-105,сквер б/н западнее д. 32  по ул. Ленсовета,0.26,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-106,сквер б/н севернее д. 26 по ул. Орджоникидзе,0.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-107,сквер б/н западнее д. 41 по Алтайской ул.,0.48,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-108,сквер б/н севернее д. 59 по пр. Юрия Гагарина,0.56,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-110,"сквер б/н юго-западнее д. 87, корп. 1, по ул. Ленсовета",0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-111,"сквер б/н севернее д. 11, корп. 2, по Пулковской ул.",0.31,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-112,сквер б/н южнее д. 3 по Пулковской ул.,0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-113,сквер б/н сквер юго-западнее д. 7 по Пулковской ул.,0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-114,"сквер б/н севернее д. 41, корп. 2, по ул. Орджоникидзе",0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-115,"сквер б/н северо-западнее д. 41,  корп. 1, по ул. Орджоникидзе",0.42,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-116,"сквер б/н севернее д. 35, корп. 2, по ул. Орджоникидзе",0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-117,"сквер б/н севернее д. 9, корп. 2, по Пулковской ул.",0.35,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-118,сквер б/н западнее д. 5 по Пулковской ул.,0.23,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-119,сквер б/н восточнее д. 13 по Пулковской ул.,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-120,"сквер б/н южнее д. 11, корп. 2, по Пулковской ул.",0.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-121,"сквер б/н южнее д. 9, корп. 1, по Пулковской ул.",0.28,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-122,сквер б/н севернее д. 11 по Пулковской ул.,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-123,сквер б/н юго-западнее д. 89 по ул. Ленсовета,0.573,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-124,сквер б/н южнее д. 36 по пр. Юрия Гагарина,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-125,сквер б/н южнее д. 7 по Дунайскому пр.,0.389,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-126,сквер б/н южнее д. 17 по Пулковской ул.,0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-127,сквер б/н северо-западнее д. 80 по ул. Ленсовета,0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-128,сквер б/н юго-восточнее д. 70  по ул. Ленсовета,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-129,сквер б/н юго-западнее д. 74  по ул. Ленсовета,1.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-130,"сквер б/н севернее д. 31, корп. 1,  по ул. Орджоникидзе",0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Московский,14-48-131,сквер б/н западнее д. 42 по пр. Юрия Гагарина,0.22,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,муниципальный округ Звездное,
Петродворцовый,40-104-1,"сквер б/н на ул. Победы, д. 18 (г. Ломоносов)",1.33,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-2,сквер б/н между д. 40 по Александровской ул. и д. 9/46  по ул. Красного Флота (г. Ломоносов),1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-3,"сквер б/н на ул. Красного Флота, д. 3  (г. Ломоносов)",0.66,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-4,"сквер б/н на Швейцарской ул., д. 2 (г. Ломоносов)",1.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-5,сквер б/н южнее д. 21 по Еленинской ул. (г. Ломоносов),0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-6,сквер б/н севернее д. 12/14  по ул. Костылёва (г. Ломоносов),0.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-7,сквер б/н западнее д. 16  по ул. Костылёва (г. Ломоносов),0.26,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-8,сквер б/н севернее д. 16  по ул. Костылёва (г. Ломоносов),0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-9,"сквер б/н восточнее д. 17 и д. 15, корп. 1, по ул. Костылёва  (г. Ломоносов)",0.49,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-10,"сквер б/н между д. 30, д. 32а, д. 32б, д. 32в по Александровской ул. (г. Ломоносов)",0.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-11,"сквер б/н между д. 24 по Александровской ул. и д. 12, д. 10 по Владимирской ул. (г. Ломоносов)",0.35,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-12,сквер б/н между д. 3/13 по Петровскому пер. и д. 22/17 по Александровской ул. (г. Ломоносов),0.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-13,сквер б/н севернее д. 20 по Александровской ул. (г. Ломоносов),0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-14,"сквер б/н между д. 4а, д. 4 по Кронштадтской ул. и д. 3  по 1-й Нижней ул. (г. Ломоносов)",0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-15,сквер б/н между д. 1 и д. 3  по 1-й Нижней ул. (г. Ломоносов),0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-16,сквер б/н севернее д. 43/6 по Дворцовому пр. (г. Ломоносов),0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-17,сквер б/н восточнее д. 1а  по ул. Сафронова (г. Ломоносов),0.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-18,сквер б/н севернее д. 6  по ул. Сафронова (г. Ломоносов),0.28,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-19,сквер б/н южнее д. 13  по Богумиловской ул. (г. Ломоносов),0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-20,сквер б/н южнее д. 15  по Богумиловской ул. (г. Ломоносов),0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-21,сквер б/н восточнее д. 36б  по Александровской ул. (г. Ломоносов),0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-22,сквер б/н во дворе д. 49  по Ораниенбаумскому пр. (г. Ломоносов),0.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-23,"сквер б/н во дворе д. 36, корп. 2,  по ул. Победы (г. Ломоносов)",0.12,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-24,"сквер б/н восточнее д. 45, корп. 3,  по Ораниенбаумскому пр. (г. Ломоносов)",0.42,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
Петродворцовый,40-104-25,"сквер б/н западнее д. 39, корп. 2,  по Ораниенбаумскому пр. (г. Ломоносов)",0.06,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»,город Ломоносов,
