Район города,Номер по списку,Наименование,"Площадь, га",Основание
Адмиралтейский,1052,сквер Лидии Клемент на Подольской ул. между д. 20 и д. 26,0.32,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1002,сад Валентина Пикуля на пересечении Измайловского пр. и 7-й Красноармейской ул.,0.29,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16138,сквер б/н севернее д.9 по Песочной ул.,0.22,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5208,парк Канонерский парк на Канонерском острове,50.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6033,сквер б/н на пересечении ул. Богайчука и Петрозаводского шоссе,8.96,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11098,Пулковский парк на пересечении Пулковского шоссе и Московского шоссе,38.72,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11002,"парк Авиаторов между Новоизмайловским пр., Бассейной ул., Кубинской ул. и Кузнецовской ул.",32.53,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11233,сквер б/н на ул. Ленсовета восточнее д.31,0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1066,парк Екатерингоф на Екатерингофском о-ве,33.86,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8080,"Южно-Приморский парк на Петергофском шоссе, ограниченный ул. Доблести и ул. Маршала Захарова",89.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16162,парк Дальняя Рогатка юго-восточнее пересечения Красносельского шоссе и Пулковского шоссе,12.27,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6001,"сад Урицкого между ул.Урицкого, ул.Правды, ул.Культуры и Октябрьской ул.",5.67,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1156,сквер б/н на ул. Александра Блока у д. 5,0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1080,"сквер б/н в пер.Макаренко, д.6-8",0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1157,бульвар б/н на ул. Декабристов от наб. р. Пряжки до Английского пр.,0.11,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1076,"сквер б/н на Клинском пр., д.20",0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1053,сквер б/н на Малодетскосельском пр. от Бронницкой ул. до Серпуховской ул.,0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1158,сквер б/н в Б. Казачьем пер. у д.45 по Загородному пр.,0.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1159,сквер б/н на Бронницкой ул. севернее д. 40,0.05,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1160,"сквер б/н на Старо-Петергофском пр. у д. 30, корп. 1",0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1032,сквер б/н на пересечении ул.Циолковского и Курляндской ул.,0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1042,бульвар б/н на ул.Циолковского от наб.р.Фонтанки до наб.Обводного кан.,2.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5067,"сквер б/н на ул.Ивана Черных, д.21",0.62,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5117,"сквер б/н на ул.Ивана Черных, д.13",0.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14009,сквер б/н на пересечении ул.Халтурина и бульв.Красных Курсантов,2.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14099,"парк Ольденбургского между Ораниенбаумским шоссе, Троицким ручьём и Финским заливом",21.79,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14119,сквер б/н на Санкт-Петербургском пр. у д.51 и д.49/9,0.47,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14120,сквер б/н на Санкт-Петербургском пр. от  Мастерового пер.  до Разво,0.84,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14121,сквер б/н на Санкт-Петербургском шоссе севернее д. 104 и д. 106/2,0.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16063,сквер б/н вокруг Круглого пруда,2.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16084,парк дачи Самойловой на Павловском шоссе у д.10,13.49,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16042,"парк Мариенталь между Садовой ул., ул.Красного Курсанта, Мариинской ул. и  Елизаветинской ул.",35.42,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16153,сквер б/н на Госпитальной ул. юго-западнее д. 28,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16154,сквер б/н на Железнодорожной ул. у д. 80,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16155,сквер б/н на пересечении Средней ул. и Оранжерейной ул.,0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16156,сквер б/н на ул. Генерала Хазова восточнее д. 9,0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16157,сквер б/н на Оранжерейной ул. у д. 26/8 по Средней ул.,0.02,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16158,сквер б/н на Школьной ул. северо-западнее д. 23,0.16,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16010,сквер б/н на пересечении Академического пр. и Дворцовой ул.,0.72,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16146,"сквер б/н на Ленинградской ул. у домов 26, 28 и 30",0.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16001,"Детский парк между Широкой ул., Октябрьским бульв. и Софийским бульв.",3.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16075,сквер б/н на Артиллерийской ул. между д.9 и д.20/13 по Кадетскому бульв.,0.27,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16066,"сквер б/н на Железнодорожной ул., д.14",0.55,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16003,Соборный сквер на Соборной пл.,3.44,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16038,"сквер б/н на Артиллерийской ул., д.4",1.24,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16029,сквер б/н на Дворцовой ул. между д.5/1 и д.2/3 по Средней ул.,0.46,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16159,сквер б/н на Красносельском шоссе южнее д. 65,0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16098,сквер б/н на Ленинградской ул. северо-западнее д.16,0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16160,сквер б/н на Московской ул. у д. 9/12,0.07,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8110,сквер б/н на пересечении ул.Лермонтова и Гвардейской ул.,0.1,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8124,"сквер б/н на ул. Рихарда Зорге южнее д. 4, корп. 1 и д. 4, корп. 2",0.39,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8125,сквер б/н на Петергофском шоссе от ул. Адмирала Черокова до ул. Адм,3.62,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8126,сквер б/н на Петергофском шоссе от ул. Адмирала Трибуца до Дудергоф,3.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8127,сквер б/н на ул. Маршала Захарова северо-западнее пересечения с ул.,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8128,сквер б/н на ул. Доблести у д. 1 по ул. Рихарда Зорге,0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6049,сквер б/н на пересечении ул. Богайчука и Полевой ул,0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6050,"сквер б/н на Центральной ул. у д. 21, корп. 3 по Садовой ул.",1.48,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6004,сквер б/н между бульв.Трудящихся и ул.Веры Слуцкой,4.52,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6006,сквер б/н на Железнодорожной ул. между Центральной ул. и Садовой ул.,0.77,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16161,сквер б/н у д. 29 по Пушкинской ул.,0.71,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5207,сквер б/н северо-восточнее д.220-3 по пр. Стачек,1.62,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11225,"сквер б/н на ул.Пилотов юго-восточнее д.16, корп.1",0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11226,"сквер б/н восточнее д.16, корп.2 по ул.Пилотов",0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14011,сквер б/н на пересечении Гостилицкого шоссе и Троицкой ул.,2.32,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14047,сквер б/н на пересечении Ново-Нарвского шоссе и Театральной аллеи,0.83,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6019,сквер б/н на ул.Танкистов от пр.Ленина до Павловской ул.,1.57,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6011,сквер б/н на Красной ул. от Комсомольского кан. до ул.Ремизова,9.34,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6037,парк б/н на Загородной ул.,45.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16043,сад Миранда на пересечении Садовой ул. и Берёзовой ул.,4.3,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8032,"сквер б/н на Авангардной ул., д.35",0.39,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8129,парк Новознаменка между ул. Тамбасова и д.96 по Петергофскому шоссе,82.65,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6015,Колпинский парк на о.Чухонка и на полуострове,27.89,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16019,"Отдельный парк между Московским шоссе, Софийским бульв., Павловским шоссе и линией Витебской ж.д.",91.96,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11100,бульвар б/н между Дунайским пр. и ул.Галстяна,3.78,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16163,сквер б/н северо-западнее д.10 по Красносельскому ш.,0.44,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16165,сквер б/н северо-восточнее д.15 по Павловскому ш.,0.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16166,сквер б/н южнее д. 34 по Средней ул.,0.01,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8079,сквер б/н вдоль р.Ивановки между пр.Ветеранов и ул.Чекистов,16.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14058,сквер б/н на Торговой пл.,0.34,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5209,"сквер б/н севернее д.89, корп.2 по пр. Ветеранов",0.36,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6051,сквер б/н между д.7 и д.13 по Южной ул.,2.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14137,сквер б/н вдоль Санкт-Петербургского шоссе от Мостовой ул. до ул. Чайковского (г.Петергоф),0.9773,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14133,"сквер б/н у д.6, корп.1, по ул. Жоры Антоненко (г.Ломоносов)",1.3257,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14134,сквер б/н у д.5 по Никольской ул. (г.Петергоф),0.2932,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14063,"Привокзальный сквер между Петербургской ул., ул.Рубакина и Привокзальной пл.",0.7163,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14135,сквер б/н у д.1а по Эрлеровскому бульв. (г.Петергоф),0.3948,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14125,сквер б/н на пересечении Гостилицкой ул. и ул.Веденеева (г.Петергоф),0.2915,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14064,сквер б/н между Дворцовым пр. и Александровской ул.,10.2566,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14124,сквер б/н у д.1 по Спортивной ул. (г. Петергоф),1.0011,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14122,сквер б/н северо-западнее д.16 по ул.Аврова (г.Петергоф),0.0245,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14132,сквер б/н у д.11а по Дворцовому пр. (г.Ломоносов),1.2382,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14136,сквер б/н вдоль р.Шингарки между Знаменской ул. и Нижней дор. (г.Петергоф),1.1484,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14128,сквер б/н у д.56б по Санкт-Петербургскому шоссе (пос.Стрельна),0.3822,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14138,сквер б/н между Портовой ул. и р.Стрелкой (пос.Стрельна),1.0929,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14129,сквер б/н вдоль Санкт-Петербургского шоссе от пр.Буденного до Народного пер. (пос.Стрельна),1.2652,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14048,сквер б/н на пересечении Санкт-Петербургского шоссе и Ново-Нарвского шоссе,1.2122,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14126,сквер б/н у д.53 по Санкт-Петербургскому шоссе (пос.Стрельна),0.5358,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14127,сквер б/н между д.79 и д.101а по Санкт-Петербургскому шоссе (пос.Стрельна),2.1824,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14131,сквер б/н между ул.Тургенева и д.128 по Санкт-Петербургскому шоссе (пос.Стрельна),5.0353,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,14130,сквер б/н вдоль Санкт-Петербургского шоссе западнее Арктического пер. (пос.Стрельна),0.9351,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14024,Центральный сквер на Разводной ул.,12.0878,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14123,"сквер б/н между ул.Халтурина, Сергиевской ул. и линией Балтийской ж.д. (г.Петергоф)",1.6921,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1161,сквер б/н на пер.Антоненко д.8,0.0185,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1011,"Никольский сад между наб.Крюкова кан., пр.Римского-Корсакова, Никольской пл. и наб.кан.Грибоедова",2.0489,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1072,сквер б/н на пересечении Старо-Петергофского пр. и наб.Обводного кан.,0.8657,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11003,"Московский сад между Черниговской ул., пл.Московские Ворота и Лиговским пр.",0.5838,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11104,сад Динамо на пересечении Заставской ул. и Цветочной ул.,0.6837,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16002,сад б/н на пересечении Дворцовой ул. и Фермской дор.,8.0543,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16100,сквер б/н юго-западнее д.36 по Новой ул.,0.1823,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16147,сквер б/н западнее пересечения Московского пер. и Софийского бульв.,2.9822,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16045,сквер б/н на пересечении Березовой ул. и Детскосельской ул.,0.3929,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5056,"сквер б/н на пр.Маршала Жукова, д.18",0.8612,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5099,"бульвар б/н на пр.Ветеранов, д.43",0.3805,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5171,"бульвар б/н на ул.Косинова, д.19/9",0.2115,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5165,сквер б/н на пересечении ул.Трефолева и Баррикадной ул.,0.2339,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5126,сквер б/н на пр.Народного Ополчения между д.143 и д.145,0.6858,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5210,сквер б/н у д.116 по Ленинскому пр.,0.0851,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6038,сквер б/н на ул. Машиностроителей,1.9339,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6013,"сквер Героев-Ижорцев между Павловской ул., ул.Веры Слуцкой, Пролетарской ул. и ул.Братьев Радченко",9.3076,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6034,сквер б/н на пересечении Центральной ул. и Петрозаводского шоссе,4.4255,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6036,сквер б/н на ул. Металлургов,1.9153,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6020,сквер б/н на Октябрьской ул от д.83 до Комсомольского кан.,17.1613,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6018,"сквер Коммуны между Советским бульв., Финляндской ул., ул. Коммуны и Адмиралтейской ул.",6.1495,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,8119,"сквер б/н на ул. Лётчика Пилютова, д.23",0.3748,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,8121,"сквер Скорбящая Родина на пр. Ленина, д.85",0.4097,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,8084,сквер б/н вдоль Дудергофского кан.,17.3773,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,8070,сквер б/н на углу Ленинского пр. и пр.Кузнецова,0.6973,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,8064,сквер б/н на пересечении ул.Добровольцев и пр.Ветеранов,4.4937,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский и Пет,8131,сквер б/н вдоль р.Сосновки западнее ул.Пионерстроя,3.1075,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1057,"Введенский сад между Загородным пр., Введенским кан. и Лазаретным пер.",0.57,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8001,"парк Сосновая Поляна между пр.Ветеранов, ул.Летчика Пилютова, линией Балтийской ж.д. и р.Сосновкой",60.93,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11046,сквер б/н на Московском шоссе между д.32 и д.34,1.1762,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11242,"Рощинский сад между Рощинской ул., Московским пр. и ж.д. линией",0.9314,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8096,сквер б/н на ул.Доблести у д.34,0.903,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5090,"сквер б/н на пр.Стачек, д.114а",3.931,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8016,"Полежаевский парк, между Петергофским шоссе, пр.Маршала Жукова и Авангардной ул.",148.29,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1009,Багратионовский сквер на ул.Марата между д.86 и д.90,2.6775,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1162,"сквер б/н на Старо-Петергофском пр., д.27",0.258,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6041,сквер б/н на Шлиссельбургском шоссе между д.3 и д.141 и р.Невой,7.4524,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6042,"сквер б/н на Шлиссельбургском шоссе, д.52",1.8073,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Колпинский,6043,"сквер б/н на Шлиссельбургском шоссе между д.259, д.325 и р.Невой",2.1548,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11241,сквер б/н у д. 105 по Пулковскому шоссе,0.16,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11240,сквер б/н у д. 17 по улице Костюшко,0.3653,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14074,сквер б/н вдоль Красного (Верхнего) пруда,1.0742,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Пушкинский,16164,сквер б/н южнее пересечения Красносельского шоссе и Парковой ул.,0.5951,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Петродворцовый,14139,сквер б/н на ул.Аврова между ул.Дашкевича и Озерковой ул. (г.Петергоф),2.1332,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4140,"сад Бенуа между Тихорецким пр., Светлановским пр., ул.Веденеева и пр.Науки",9.85,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4141,сквер б/н у ж.-д. ст. Кушелевка,0.54,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4142,"сквер б/н на пр.Науки, д.65",0.26,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4147,"сквер б/н на Гражданском пр., д.6",0.3,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4149,бульвар б/н на Замшиной ул. от пр.Мечникова до Полюстровского пр.,3.93,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Калининский,4155,"сквер б/н на Лесном пр., д.25",0.51,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
