Район города,Номер по списку,Наименование,"Площадь, га",Основание
Кировский,5130,"сквер б/н на пр.Маршала Жукова, д.64, корп.1",0.52,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5133,сквер б/н вдоль р.Новой между пр.Народного Ополчения и ул.Стойкости,1.93,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5134,"сквер б/н на ул.Стойкости, д.23",0.27,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5135,"сквер б/н на пр.Ветеранов, д.104",1.72,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5136,"сквер б/н на пр.Маршала Жукова, д.66, корп.1",0.29,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5142,"сквер б/н на бульв.Новаторов, д.112",0.08,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5143,сквер б/н вдоль р.Дачной от Дачного пр. до Ленинского пр.,2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5146,сквер б/н на ул.Новостроек между д.28 и д.30,0.33,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5150,"сквер б/н на пр.Стачек, д.62",0.43,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5157,"сквер б/н на бульв.Новаторов, д.32",5.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5163,сквер б/н на Двинской ул. между д.5/7 и д.9,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5164,сквер б/н на пересечении пр.Стачек и дор. на Турухтанные острова,0.09,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5166,сквер б/н на пересечении Виндавской ул. и Двинской ул.,0.14,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Кировский,5168,"сквер б/н на Корабельной ул., д.6 и д.6, корп.2",0.74,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
